,id,full_name,first_name,last_name,is_active
119,1631217,Moussa Diabate,Moussa,Diabate,True
120,1629603,Mamadi Diakite,Mamadi,Diakite,True
121,1628977,Hamidou Diallo,Hamidou,Diallo,True
122,203476,Gorgui Dieng,Gorgui,Dieng,True
123,1631172,Ousmane Dieng,Ousmane,Dieng,True
124,203915,Spencer Dinwiddie,Spencer,Dinwiddie,True
125,1629029,Luka Doncic,Luka,Doncic,True
126,1628416,Tyler Dorsey,Tyler,Dorsey,True
127,1629652,Luguentz Dort,Luguentz,Dort,True
128,1630245,Ayo Dosunmu,Ayo,Dosunmu,True
129,1629653,Devon Dotson,Devon,Dotson,True
130,1630288,Jeff Dowtin Jr.,Jeff,Dowtin Jr.,True
131,1628408,PJ Dozier,PJ,Dozier,True
132,201609,Goran Dragic,Goran,Dragic,True
133,203083,Andre Drummond,Andre,Drummond,True
134,1630537,Chris Duarte,Chris,Duarte,True
135,1630561,David Duke Jr.,David,Duke Jr.,True
136,1627739,Kris Dunn,Kris,Dunn,True
137,201142,Kevin Durant,Kevin,Durant,True
138,1631105,Jalen Duren,Jalen,Duren,True
139,1631106,Tari Eason,Tari,Eason,True
140,1630162,Anthony Edwards,Anthony,Edwards,True
141,1630556,Kessler Edwards,Kessler,Edwards,True
142,1631165,Keon Ellis,Keon,Ellis,True
143,203954,Joel Embiid,Joel,Embiid,True
144,1629234,Drew Eubanks,Drew,Eubanks,True
145,1628981,Bruno Fernando,Bruno,Fernando,True
146,1627827,Dorian Finney-Smith,Dorian,Finney-Smith,True
147,1630201,Malachi Flynn,Malachi,Flynn,True
148,1631323,Simone Fontecchio,Simone,Fontecchio,True
149,1627854,Bryn Forbes,Bryn,Forbes,True
150,1630235,Trent Forrest,Trent,Forrest,True
151,1630701,Michael Foster Jr.,Michael,Foster Jr.,True
152,203095,Evan Fournier,Evan,Fournier,True
153,1628368,De'Aaron Fox,De'Aaron,Fox,True
154,1628365,Markelle Fultz,Markelle,Fultz,True
155,1629117,Wenyen Gabriel,Wenyen,Gabriel,True
156,1629655,Daniel Gafford,Daniel,Gafford,True
157,201568,Danilo Gallinari,Danilo,Gallinari,True
158,1629636,Darius Garland,Darius,Garland,True
159,1630586,Usman Garuba,Usman,Garuba,True
160,1630568,Luka Garza,Luka,Garza,True
161,200752,Rudy Gay,Rudy,Gay,True
162,202331,Paul George,Paul,George,True
163,201959,Taj Gibson,Taj,Gibson,True
164,1630581,Josh Giddey,Josh,Giddey,True
165,1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,True
166,1630264,Anthony Gill,Anthony,Gill,True
167,1631221,Collin Gillespie,Collin,Gillespie,True
168,203497,Rudy Gobert,Rudy,Gobert,True
169,1630692,Jordan Goodwin,Jordan,Goodwin,True
170,203932,Aaron Gordon,Aaron,Gordon,True
171,201569,Eric Gordon,Eric,Gordon,True
172,1628984,Devonte' Graham,Devonte',Graham,True
173,203924,Jerami Grant,Jerami,Grant,True
174,1631260,AJ Green,AJ,Green,True
175,201980,Danny Green,Danny,Green,True
176,203110,Draymond Green,Draymond,Green,True
177,203210,JaMychal Green,JaMychal,Green,True
178,1630224,Jalen Green,Jalen,Green,True
179,1629750,Javonte Green,Javonte,Green,True
180,201145,Jeff Green,Jeff,Green,True
181,1630182,Josh Green,Josh,Green,True
182,1631100,AJ Griffin,AJ,Griffin,True
183,201933,Blake Griffin,Blake,Griffin,True
184,1629656,Quentin Grimes,Quentin,Grimes,True
185,1629060,Rui Hachimura,Rui,Hachimura,True
186,1630169,Tyrese Haliburton,Tyrese,Haliburton,True
187,1631160,Jordan Hall,Jordan,Hall,True
188,1630181,R.J. Hampton,R.J.,Hampton,True
189,203501,Tim Hardaway Jr.,Tim,Hardaway Jr.,True
190,201935,James Harden,James,Harden,True
191,1630702,Jaden Hardy,Jaden,Hardy,True
192,1631199,Ron Harper Jr.,Ron,Harper Jr.,True
193,1626149,Montrezl Harrell,Montrezl,Harrell,True
194,203914,Gary Harris,Gary,Harris,True
195,203925,Joe Harris,Joe,Harris,True
196,1630284,Kevon Harris,Kevon,Harris,True
197,202699,Tobias Harris,Tobias,Harris,True
198,1628404,Josh Hart,Josh,Hart,True
199,1628392,Isaiah Hartenstein,Isaiah,Hartenstein,True
200,2617,Udonis Haslem,Udonis,Haslem,True
